id,artiste,titre,genre,contexte_temporel,contexte_meteo,contexte_activite,contexte_emotionnel,contexte_social,contexte_lieu,bpm_estime,energie,valence,danceability,acousticness,instrumentalness,speechiness,liveness,notes
1VpaGT3qRCT4jaqYw7o9IH,Dead Prez,Hip-Hop - Radio Version,hip_hop,journee,neutre,cuisine,motive,amis,cafe,105,0.831,0.6,0.781,0.431,0.166,0.36,0.208,7.2
2sEKgKt7N4d7fPetASON80,Meek Mill,Hip Hop,hip_hop,journee,neutre,cuisine,motive,amis,restaurant,108,0.866,0.614,0.841,0.311,0.029,0.323,0.341,7.0
5cl6rJmigUbx6cNrA3nV8z,Beyoncé,Hip Hop Star (feat. Big Boi & Sleepy Brown),hip_hop,apres_midi,neutre,loisir,neutre,amis,exterieur,90,0.662,0.521,0.688,0.428,0.079,0.171,0.271,7.6
5aEz3lqzgWC3QfAWiNYRke,Hiphopkarma,In It,pop,weekend,chaud,fete,joyeux,groupe,cafe,129,0.765,0.939,0.912,0.662,0.171,0.095,0.172,6.6
7fI6dNPkO9GsMw6O3ZyPL0,Bizarre,Hip Hop,hip_hop,apres_midi,neutre,loisir,neutre,famille,maison,108,0.684,0.598,0.747,0.572,0.111,0.317,0.221,7.5
5tp5lixxnFoKu6WAVBri75,Lil Double 0,Jazz,jazz,apres_midi,neutre,detente,romantique,couple,restaurant,125,0.608,0.679,0.57,0.824,0.378,0.07,0.052,7.9
7AgMX97ljLm9BzszyyXEYZ,A Tribe Called Quest,Jazz (We've Got),jazz,matin,neutre,loisir,neutre,seul,cafe,111,0.479,0.586,0.411,0.783,0.415,0.038,0.051,7.9
06SYfhYSo9iY3txHE6W9Dl,berlioz,jazz is for ordinary people,jazz,matin,neutre,loisir,neutre,seul,maison,131,0.469,0.541,0.517,0.824,0.462,0.027,0.252,8.0
6w4MlvpuxtbjGdL9YeTx89,Outkast,Jazzy Belle,jazz,apres_midi,neutre,detente,romantique,couple,maison,123,0.628,0.798,0.707,0.605,0.437,0.049,0.122,7.8
2rk0lCpO1vkKAQ6BC8bjUX,Mick Jenkins,Jazz,jazz,matin,neutre,detente,romantique,couple,maison,118,0.438,0.607,0.482,0.797,0.777,0.075,0.066,7.4
7hQJA50XrCWABAu5v6QZ4i,Queen,Don't Stop Me Now - Remastered 2011,pop,journee,ensoleille,sport,energique,amis,salle_sport,147,0.94,0.707,0.904,0.666,0.366,0.074,0.176,8.3
2JJ9z5cHcm1fXkp8lDVaQ2,Aylior,Jazz,jazz,soiree,neutre,etude,calme,seul,bibliotheque,111,0.362,0.576,0.428,0.796,0.742,0.054,0.174,6.7
1D5PMly59volxN3IJMv9bt,The Fumes,Jazz,jazz,matin,neutre,detente,romantique,couple,restaurant,129,0.429,0.628,0.534,0.625,0.724,0.056,0.203,6.9
4N6SmWg9M92xRwejuVBxwQ,iwamizu,Jazz,jazz,nuit,froid,travail,calme,couple,bureau,102,0.392,0.677,0.46,0.636,0.663,0.038,0.102,6.4
0IxLXLJHEnYlTjek6A0moU,Cozy Fall Jazz,Jazz,jazz,matin,neutre,detente,romantique,couple,restaurant,121,0.496,0.681,0.478,0.661,0.748,0.054,0.079,6.6
0pjCsB0XNSyqM9UazlTODC,Dmitri Shostakovich,Jazz Suite No. 2: VI. Waltz 2,jazz,apres_midi,neutre,detente,romantique,couple,maison,129,0.412,0.642,0.56,0.588,0.625,0.032,0.095,7.9
5u8g9bBja2IESAqDu03x6W,trompette,Jazz,jazz,apres_midi,neutre,detente,romantique,couple,restaurant,131,0.591,0.712,0.611,0.541,0.469,0.054,0.183,7.1
3eQnyx0B0yMZslWaxztNfA,byekid,Jazz,jazz,apres_midi,neutre,detente,romantique,couple,restaurant,129,0.571,0.783,0.651,0.542,0.423,0.075,0.081,7.2
0TrEMKiKV6JE7PyGkmm2VV,DJ Zeeter,Jazz,jazz,apres_midi,neutre,detente,romantique,couple,restaurant,131,0.544,0.636,0.52,0.625,0.379,0.022,0.23,6.7
2zMn261sjoitKZJehIMKPD,The Durutti Column,Jazz,jazz,apres_midi,neutre,detente,romantique,couple,maison,114,0.526,0.625,0.484,0.784,0.618,0.074,0.107,6.8
3wo3d0I5H8KjkwGvnz8WbB,Sonny Fodera,Somedays,pop,journee,ensoleille,sport,energique,amis,exterieur,153,0.886,0.734,0.828,0.593,0.147,0.056,0.16,8.6
1muuU1537td0NXq2cf6BNh,We Dream In Anime,Jazz,jazz,apres_midi,neutre,detente,romantique,couple,maison,132,0.646,0.669,0.579,0.808,0.606,0.04,0.244,6.9
6jnLsjqqgQGZGHUenUyTsB,David Crowe,Jazz,jazz,apres_midi,neutre,loisir,neutre,amis,maison,130,0.448,0.506,0.558,0.54,0.41,0.022,0.06,6.5
4igIYHF3B5VBxEafHauVo3,Queen,Fat Bottomed Girls - Remastered 2011,pop,weekend,chaud,cuisine,joyeux,famille,plage,125,0.731,0.931,0.72,0.51,0.023,0.075,0.322,8.0
15Csfc8bkcJRCT04OErRkP,Paul F. Tompkins,Jazz,jazz,matin,neutre,detente,romantique,couple,maison,130,0.462,0.69,0.557,0.612,0.43,0.044,0.167,6.3
7fAhwIX8dBLJF2AaPE2Gu6,K.A.A.N.,Jazz,jazz,soiree,neutre,travail,calme,seul,bureau,112,0.391,0.571,0.388,0.764,0.662,0.022,0.227,6.2
0dgdDB39uUoC8WICmTE2U8,Jazzy,No Bad Vibes,jazz,apres_midi,ensoleille,detente,romantique,couple,maison,129,0.671,0.84,0.634,0.761,0.755,0.05,0.155,8.4
6Z1TYllQ31HlIGhxX7zI6k,Moses Wilde.,Jazz,jazz,nuit,neutre,travail,calme,couple,bureau,113,0.36,0.601,0.389,0.851,0.668,0.073,0.333,6.2
4fdftRy6Gon68yCvJzOtYo,Caramelos De Cianuro,Jazz,jazz,apres_midi,neutre,detente,romantique,couple,restaurant,131,0.597,0.764,0.661,0.748,0.3,0.051,0.11,6.8
0DsbijUjURPgkffxhfkrfJ,Copenhagen untd.,Jazzy Cigarette,jazz,apres_midi,neutre,detente,romantique,couple,maison,113,0.506,0.741,0.661,0.757,0.375,0.043,0.083,7.6
2QU2YbkhokmjI0dC4AlSU9,johnboybeats,JAzZ,jazz,apres_midi,neutre,detente,romantique,couple,maison,133,0.565,0.704,0.517,0.516,0.755,0.043,0.12,6.8
7g4Cd8Cti1eHrcTyDXPfYP,Kyung dasom,JAZZ,jazz,apres_midi,neutre,detente,romantique,couple,restaurant,128,0.592,0.689,0.608,0.537,0.596,0.05,0.1,6.9
3n3gfS8H6kpyqF2x5vUdLT,Red Brick Lane,Jazz Odyssey,jazz,apres_midi,neutre,detente,romantique,couple,restaurant,110,0.63,0.796,0.764,0.821,0.487,0.049,0.323,7.6
64OJBvUoBussjz3u8hNg2m,Louie Zong,Jazz,jazz,apres_midi,neutre,detente,romantique,couple,maison,115,0.475,0.767,0.66,0.555,0.702,0.035,0.165,6.2
4JsFiWQgbHAERpa7k6Plsc,Roni Size,Jazz,jazz,apres_midi,neutre,detente,romantique,couple,restaurant,123,0.64,0.678,0.703,0.615,0.788,0.071,0.094,7.0
4DK3JpX2NkEMhCnltUEvUg,Mason Williams,Classical Gas,classical,soiree,neutre,travail,calme,seul,bureau,71,0.332,0.535,0.361,0.746,0.721,0.063,0.263,7.1
0g8zASF1mldclJswQ0IQYJ,Lullaby Time,Classical Baby,classical,nuit,neutre,travail,calme,seul,bureau,60,0.225,0.549,0.352,0.737,0.686,0.033,0.255,7.1
1cmigB9I6IRpFqjIbzvSQB,Claude Debussy,"Suite bergamasque, L. 75: III. Clair de lune",pop,weekend,ensoleille,fete,joyeux,amis,exterieur,129,0.733,0.921,0.822,0.413,0.316,0.071,0.195,8.1
1DfGPEHxTYeaJpiNA4xUb5,Ludwig van Beethoven,Für Elise,pop,apres_midi,neutre,detente,romantique,couple,restaurant,123,0.601,0.687,0.566,0.536,0.207,0.076,0.299,8.1
61dYvvfIRtIDFuqZypPAta,Johann Sebastian Bach,"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",pop,journee,ensoleille,sport,energique,groupe,salle_sport,142,0.867,0.797,0.749,0.493,0.027,0.067,0.239,8.0
6JyihARD2zGUa4uB4NfQiv,Pyotr Ilyich Tchaikovsky,"Swan Lake (Suite), Op. 20a, TH.219: I. Scene - Swan Theme",pop,journee,neutre,sport,motive,amis,exterieur,138,0.795,0.765,0.774,0.621,0.065,0.106,0.259,8.1
77oGPqxT7yDZ5OCRmR863C,Marcin,Classical Dragon (feat. Tim Henson),classical,nuit,neutre,travail,calme,couple,bureau,63,0.274,0.64,0.482,0.9,0.578,0.04,0.26,6.7
23lDDFpPqVktmCcUhc0ytw,Wolfgang Amadeus Mozart,Requiem: K. 626: Lacrimosa,pop,weekend,chaud,sport,joyeux,amis,exterieur,147,0.81,0.933,0.758,0.52,0.017,0.043,0.119,7.7
4DlGLD32K7shuL8ub067DL,Vampire Weekend,Classical,classical,apres_midi,neutre,detente,romantique,couple,maison,91,0.429,0.631,0.456,0.547,0.366,0.061,0.069,7.5
2xizRhme7pYeITbH1NLLGt,Pyotr Ilyich Tchaikovsky,"Tchaikovsky: Swan Lake, Op. 20, Act 2: No. 10, Scene. Moderato",pop,journee,chaud,conduite,energique,couple,voiture,123,0.826,0.757,0.682,0.615,0.368,0.051,0.299,8.3
0jOnZhF75V68VsBObWx2XO,Camille Saint-Saëns,"The Carnival of the Animals, R. 125: XIII. The Swan (Arr. for Cello and Piano)",pop,apres_midi,ensoleille,conduite,neutre,amis,voiture,131,0.635,0.949,0.634,0.421,0.031,0.037,0.321,7.6
6kf7ZCJjEbjZXikivKOsvJ,Claude Debussy,Clair de lune,pop,weekend,ensoleille,fete,joyeux,groupe,exterieur,124,0.708,0.805,0.825,0.585,0.138,0.096,0.2,8.2
40gRh2ZURv5tYBo8yB9Lu3,Ludwig van Beethoven,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": I. Adagio sostenuto",pop,weekend,ensoleille,sport,joyeux,groupe,salle_sport,139,0.789,0.825,0.708,0.477,0.069,0.038,0.148,8.2
6MzbO6YS0M6tjwT93hjAl0,Sigvaldi Kaldalóns,Ave María (Arr. Víkingur Ólafsson) - Upright Piano,pop,journee,neutre,sport,motive,amis,exterieur,144,0.801,0.663,0.787,0.704,0.354,0.061,0.338,8.1
4b7FS62swyDhSMk7TBxL57,Mason Williams,Classical Gas,classical,soiree,pluvieux,loisir,nostalgique,seul,maison,73,0.492,0.414,0.461,0.833,0.527,0.027,0.246,6.8
5u5aVJKjSMJr4zesMPz7bL,Claude Debussy,"Clair de Lune, L. 32",pop,journee,neutre,sport,motive,amis,exterieur,152,0.801,0.681,0.745,0.611,0.077,0.116,0.305,8.4
4wKob4SjImqLpFqr8ygpgz,Alberto Giurioli,Istanbul,pop,apres_midi,neutre,detente,romantique,couple,maison,126,0.617,0.679,0.61,0.516,0.274,0.058,0.125,8.1
6XzyCjS2Z2zgGIAk1p5nKB,Gucci Mane,Classical - Intro,classical,nuit,neutre,etude,calme,seul,bureau,71,0.217,0.476,0.236,0.671,0.421,0.054,0.209,6.1
72a7BreUstd8JSHbPyMr0d,Alexis Ffrench,Once,pop,apres_midi,neutre,detente,romantique,couple,restaurant,139,0.61,0.777,0.736,0.777,0.197,0.07,0.154,8.1
5NILhtaOQF1sny3pE5lriu,Chad Lawson,Sanctuary,pop,journee,neutre,cuisine,motive,famille,maison,122,0.703,0.71,0.799,0.542,0.259,0.113,0.138,8.3
4PGrQH5eUSlo8CxdUHRDx3,Tommy Emmanuel,Classical Gas - Live,classical,soiree,froid,etude,calme,seul,bibliotheque,61,0.313,0.441,0.387,0.727,0.619,0.063,0.326,6.2
4QzZVJc6qPTtTkPem7qZRo,Laurindo Almeida,The Lamp Is Low,pop,apres_midi,neutre,cuisine,neutre,famille,maison,118,0.691,0.725,0.793,0.407,0.349,0.074,0.262,8.5
70EAyoNV7Coaw5ACubFL3F,Erik Satie,Gymnopédie No.1,pop,apres_midi,ensoleille,detente,romantique,amis,maison,132,0.688,0.903,0.846,0.73,0.22,0.072,0.273,7.8
6UjiABdNRhHLMWFvRDZSVD,Bad Wolves,Classical,classical,soiree,froid,etude,calme,seul,bureau,69,0.316,0.419,0.295,0.785,0.322,0.066,0.317,6.1
2MSgFefjK0T7Iwjvr3OKqV,Frédéric Chopin,"Chopin: Nocturne No. 20 in C-Sharp Minor, Op. Posth.",pop,apres_midi,neutre,detente,romantique,couple,restaurant,134,0.664,0.706,0.618,0.631,0.049,0.105,0.103,8.4
3oXl4DnBBGeGhXjHmSSMpU,RIOPY,Lily’s Lullaby,pop,journee,neutre,sport,motive,amis,exterieur,135,0.715,0.723,0.633,0.417,0.037,0.116,0.31,8.0
4SPJDte2kZKgY1Dw2yzmkK,Funddss,Classical,classical,matin,neutre,loisir,neutre,amis,maison,93,0.487,0.594,0.517,0.624,0.699,0.05,0.278,6.7
1VNvsvEsUpuUCbHpVop1vo,Frédéric Chopin,"Nocturne No. 2 in E-Flat Major, Op. 9 No. 2",pop,weekend,ensoleille,sport,joyeux,amis,exterieur,144,0.808,0.803,0.746,0.48,0.128,0.069,0.122,8.2
3IKzcR0MRKVJ5QRjX0EU4m,Pyotr Ilyich Tchaikovsky,"Swan Lake (Suite), Op. 20a, TH.219: 3. Scene - Danse de Petits Cygnes",pop,weekend,chaud,sport,joyeux,groupe,exterieur,148,0.82,0.889,0.938,0.628,0.039,0.084,0.128,7.6
2Gkwgols6E2yZmBMKeiSRI,Rukkus,Classical,classical,matin,neutre,loisir,neutre,amis,maison,85,0.407,0.526,0.348,0.664,0.414,0.043,0.27,6.4
3zLTPuucd3e6TxZnu2dlVS,Ludwig van Beethoven,"Bagatelle No. 25 in A Minor, WoO 59 ""Für Elise""",pop,weekend,ensoleille,sport,joyeux,amis,salle_sport,133,0.73,0.907,0.76,0.603,0.252,0.052,0.152,8.0
7EqkO7UDHveqXYzPrOZYei,Eunike Tanzil,Be My Home,pop,weekend,chaud,conduite,joyeux,couple,voiture,124,0.789,0.904,0.739,0.654,0.249,0.089,0.317,7.5
2munHzvVYjZhAa4lj26wcR,Bad Wolves,Classical,classical,apres_midi,neutre,loisir,neutre,famille,maison,81,0.4,0.436,0.408,0.595,0.571,0.049,0.319,6.2
6arrU1T4UsoX40PsOD5Hf2,Nursery Rhymes ABC,Moonlight Sonata,pop,journee,neutre,sport,motive,groupe,salle_sport,132,0.786,0.718,0.819,0.36,0.192,0.043,0.339,8.3
6RLwSsknomGUcImWZePZqa,Aram Khachaturian,Masquerade Suite: Waltz,pop,apres_midi,neutre,detente,romantique,couple,restaurant,118,0.668,0.722,0.664,0.582,0.105,0.081,0.101,7.8
37ruL0882SPad6hYhZg6CO,Fartsdump,Classical,classical,matin,neutre,detente,romantique,couple,maison,91,0.47,0.656,0.437,0.9,0.319,0.02,0.21,6.5
4o7mO8eVYu0vgNBWq3DFIE,Claude Debussy,Bruyères,pop,apres_midi,chaud,conduite,neutre,famille,voiture,133,0.667,0.878,0.764,0.424,0.127,0.077,0.277,7.1
11mMxszI9b0Q7THI49jbkE,Plínio Fernandes,"Comptine d'un autre été : L'Après-midi (Arr. for Guitar by Sérgio Assad) - From ""Amélie""",pop,weekend,ensoleille,sport,joyeux,amis,exterieur,144,0.817,0.905,0.844,0.469,0.283,0.074,0.223,7.6
6dNKx9NU6ad6y9qlRqBbTy,X Prod,Classical,classical,soiree,neutre,etude,calme,seul,bureau,70,0.315,0.593,0.49,0.63,0.554,0.057,0.235,6.2
2RztWBKimZvrud9sX0x7rm,Johann Sebastian Bach,"Violin Concerto in E Major, BWV 1042: III. Allegro assai",pop,weekend,ensoleille,conduite,joyeux,famille,voiture,116,0.726,0.881,0.765,0.517,0.024,0.072,0.322,7.1
4vGAA5ZOgkD0mNJOEfNG0L,Pyotr Ilyich Tchaikovsky,"Swan Lake (Suite), Op. 20a, TH.219: 2. Scene - Valse in A Major",pop,apres_midi,ensoleille,detente,romantique,couple,maison,123,0.638,0.853,0.67,0.789,0.067,0.078,0.19,7.3
1uOpGeKg6ikCb9YM2Hgbpb,The Sundays,Folk Song,folk,nuit,neutre,etude,calme,couple,bibliotheque,94,0.389,0.749,0.495,0.698,0.057,0.053,0.194,6.8
3hUxzQpSfdDqwM3ZTFQY0K,Taylor Swift,august,pop,weekend,chaud,sport,joyeux,amis,exterieur,154,0.862,0.917,0.896,0.641,0.363,0.056,0.309,8.5
7bNQvH1gTydxfIetHX3WGC,Panic! At The Disco,Folkin' Around,folk,soiree,neutre,travail,calme,couple,bureau,96,0.328,0.725,0.436,0.9,0.034,0.047,0.156,6.5
4R2kfaDFhslZEMJqAFNpdd,Taylor Swift,cardigan,pop,apres_midi,chaud,detente,romantique,couple,restaurant,116,0.679,0.925,0.711,0.701,0.384,0.067,0.083,8.4
2fcYfbgSqHDyYoSL2l0Osb,Hideyuki Hashimoto,Folk,folk,matin,neutre,loisir,neutre,seul,maison,116,0.451,0.57,0.566,0.724,0.138,0.071,0.166,6.9
4dyx5SzxPPaD8xQIid5Wjj,Peter Bjorn and John,Young Folks,folk,nuit,chaud,etude,calme,couple,bibliotheque,100,0.354,0.826,0.457,0.797,0.22,0.067,0.33,7.4
49ZSFxuPS4RMYMwfil2trX,Nassri,Folk,folk,nuit,froid,etude,calme,seul,bureau,91,0.332,0.589,0.331,0.707,0.292,0.071,0.262,6.3
1MgV7FIyNxIG7WzMRJV5HC,Taylor Swift,my tears ricochet,pop,journee,chaud,sport,energique,groupe,exterieur,143,0.923,0.716,0.874,0.471,0.279,0.104,0.326,8.5
6wTPFOm5KMpO84GXcBAWvU,AIKON,Folk,folk,soiree,neutre,travail,calme,couple,bureau,103,0.374,0.727,0.52,0.604,0.055,0.077,0.117,6.2
4pvb0WLRcMtbPGmtejJJ6y,Taylor Swift,exile (feat. Bon Iver),pop,weekend,ensoleille,sport,joyeux,amis,salle_sport,145,0.873,0.848,0.76,0.355,0.263,0.041,0.261,8.3
26rk3x8uh1Xtq5RCvBstMB,Tram,Folk,folk,soiree,froid,etude,calme,couple,bureau,97,0.325,0.679,0.383,0.9,0.293,0.054,0.058,5.5
0Jlcvv8IykzHaSmj49uNW8,Taylor Swift,the 1,pop,weekend,ensoleille,sport,joyeux,amis,exterieur,132,0.839,0.861,0.722,0.443,0.291,0.082,0.209,8.3
19R61PjvSy7OBegMWOu6rF,Hideyuki Hashimoto,Folk,folk,apres_midi,neutre,detente,romantique,couple,restaurant,115,0.519,0.705,0.507,0.585,0.313,0.068,0.103,6.5
2NmsngXHeC1GQ9wWrzhOMf,Taylor Swift,illicit affairs,pop,journee,chaud,sport,energique,groupe,exterieur,134,0.839,0.758,0.73,0.49,0.275,0.112,0.301,8.5
6AxswBAdaGtL7okfOCRVg1,Sens,folk,folk,apres_midi,neutre,detente,romantique,couple,restaurant,103,0.553,0.716,0.588,0.764,0.188,0.037,0.165,6.1
6VsvKPJ4xjVNKpI8VVZ3SV,Taylor Swift,invisible string,pop,apres_midi,ensoleille,cuisine,neutre,amis,parc,130,0.656,0.91,0.643,0.453,0.097,0.094,0.074,8.1
2Kwzf7pXy39kpR883WyThi,Lototskiy,Folk,folk,nuit,neutre,etude,calme,couple,bureau,91,0.358,0.783,0.52,0.9,0.207,0.046,0.159,5.6
7kt9e9LFSpN1zQtYEl19o1,Taylor Swift,this is me trying,pop,weekend,chaud,fete,joyeux,groupe,club,126,0.834,0.95,0.91,0.371,0.4,0.071,0.107,8.1
1NKnPxWXjoPEITozVtxUSM,Sugarplastic,Folk,folk,nuit,ensoleille,travail,calme,couple,bureau,93,0.375,0.848,0.469,0.874,0.143,0.033,0.111,5.1
0ZNU020wNYvgW84iljPkPP,Taylor Swift,mirrorball,pop,journee,ensoleille,sport,energique,groupe,salle_sport,138,0.805,0.712,0.681,0.605,0.22,0.038,0.177,8.5
4w2VlfBbuY6XiMemCoDi7d,Lunatic Souls,Folk,folk,matin,neutre,detente,romantique,couple,restaurant,120,0.413,0.749,0.491,0.791,0.282,0.025,0.222,5.5
2Eeur20xVqfUoM3Q7EFPFt,Taylor Swift,the last great american dynasty,pop,weekend,chaud,fete,joyeux,groupe,club,115,0.83,0.808,0.871,0.451,0.379,0.116,0.172,8.3
0zFaU5c5n6avS53A9GMdHw,Alan Berlin,Folk,folk,nuit,neutre,etude,calme,couple,bibliotheque,103,0.374,0.691,0.42,0.755,0.297,0.043,0.058,5.5
5kI4eCXXzyuIUXjQra0Cxi,Taylor Swift,betty,pop,journee,chaud,sport,energique,groupe,salle_sport,140,0.862,0.799,0.872,0.474,0.042,0.078,0.051,8.3
401pp3i4Cvth63rXH8ZLXO,ProLuxeStudio,Folk,folk,soiree,neutre,travail,calme,couple,bureau,93,0.386,0.638,0.542,0.876,0.169,0.053,0.087,5.7
6KJqZcs9XDgVck7Lg9QOTC,Taylor Swift,seven,pop,weekend,ensoleille,sport,joyeux,groupe,exterieur,138,0.854,0.878,0.843,0.664,0.371,0.103,0.07,8.1
2qHNZcDPN8Wvcb3tOJTdPV,Wako,Folk,folk,nuit,neutre,etude,calme,couple,bibliotheque,104,0.301,0.637,0.44,0.752,0.154,0.078,0.254,5.5
0aGlC7ndhKHJINaaT2QWSY,Sergey Neiss,Folk,folk,nuit,neutre,etude,calme,couple,bibliotheque,104,0.3,0.703,0.433,0.89,0.172,0.048,0.267,5.2
4pfrrhvplbJZAIsfosGWQP,Taylor Swift,the 1,pop,weekend,ensoleille,cuisine,joyeux,famille,parc,116,0.75,0.907,0.742,0.552,0.172,0.062,0.235,8.0
3escodrAC8qMlzeFthB6Dn,National Forest,Folk,folk,apres_midi,neutre,detente,romantique,couple,restaurant,117,0.569,0.743,0.554,0.624,0.078,0.057,0.134,6.1
7MbT4I8qGntX4fMdqMQgke,Taylor Swift,peace,pop,weekend,chaud,sport,joyeux,groupe,exterieur,148,0.847,0.881,0.924,0.414,0.013,0.038,0.292,8.0
4Ykx6Qf1oQ7MNlJqz8P6KI,Alan Berlin,Folk,folk,matin,neutre,detente,romantique,couple,maison,124,0.46,0.669,0.444,0.758,0.158,0.051,0.16,5.8
0KRYCBwIpWYFNrXOmXbyUh,Taylor Swift,cardigan,pop,weekend,ensoleille,sport,joyeux,groupe,salle_sport,136,0.875,0.819,0.866,0.642,0.278,0.099,0.315,8.1
61Re6SY0mJjN5BFjH5r4Pq,Adrian Utley,Folk,folk,nuit,ensoleille,etude,calme,couple,bibliotheque,96,0.366,0.837,0.538,0.746,0.383,0.054,0.318,5.1
6nK2pIKFcRc5frrZKHgsiT,Taylor Swift,august,pop,weekend,chaud,sport,joyeux,groupe,salle_sport,150,0.894,0.882,0.95,0.479,0.269,0.111,0.313,8.0
7z6hIVIjhwFdMUke3HzeE9,Bobby Baker,Folk,folk,apres_midi,neutre,loisir,neutre,seul,maison,122,0.551,0.551,0.521,0.796,0.372,0.072,0.207,6.3
5P2bHCDM2tsgIaYWsZMhu5,Taylor Swift,my tears ricochet,pop,apres_midi,ensoleille,detente,romantique,couple,restaurant,121,0.637,0.943,0.707,0.617,0.022,0.068,0.091,7.7
4mtVERGC3MIUN40xOuZzW8,犬のやすらぎ,folk,folk,apres_midi,neutre,detente,romantique,couple,restaurant,118,0.502,0.777,0.554,0.577,0.215,0.073,0.106,5.8
43lRdKZI58jUycYNsTeglO,Alan Berlin,Folk,folk,apres_midi,neutre,detente,romantique,couple,restaurant,108,0.542,0.765,0.526,0.701,0.008,0.071,0.295,5.8
5S4aYQAJOwJMAamANWlICO,Taylor Swift,exile (feat. Bon Iver),pop,weekend,ensoleille,sport,joyeux,groupe,salle_sport,136,0.812,0.914,0.863,0.539,0.117,0.067,0.236,8.0
3oc7Dqr8gWUV3hOiORvQdE,Yibby,Folk,folk,apres_midi,neutre,detente,romantique,couple,maison,123,0.545,0.755,0.675,0.597,0.1,0.025,0.268,6.1
7yIIeKUxTpn36X6CFJhgEi,Bellakath,Reggaeton Champagne,reggae,weekend,ensoleille,conduite,joyeux,famille,voiture,74,0.829,0.95,0.731,0.383,0.27,0.039,0.13,7.8
3AEZUABDXNtecAOSC1qTfo,CNCO,Reggaetón Lento (Bailemos),reggae,apres_midi,ensoleille,cuisine,neutre,amis,parc,84,0.647,0.847,0.66,0.456,0.009,0.043,0.274,8.3
0gVCFdvavY7YRsIpssaxaz,Damian Marley,My Sweet Lord,pop,weekend,chaud,sport,joyeux,groupe,exterieur,154,0.859,0.85,0.819,0.386,0.282,0.1,0.053,8.0
7nT9lGk3bf5rvnVbzPIE3N,Collie Buddz,Love & Reggae,reggae,weekend,ensoleille,cuisine,joyeux,couple,maison,67,0.735,0.813,0.734,0.612,0.267,0.078,0.058,8.3
4jvxHT21eXgvjiPtCxH7Mx,The Key of Awesome,Shark Reggae,reggae,apres_midi,ensoleille,detente,romantique,couple,restaurant,71,0.648,0.853,0.729,0.679,0.271,0.058,0.305,7.3
5O4erNlJ74PIF6kGol1ZrC,Bob Marley & The Wailers,Could You Be Loved,pop,weekend,ensoleille,sport,joyeux,amis,salle_sport,154,0.942,0.827,0.782,0.65,0.189,0.114,0.334,8.3
1QhrlNjzqmqEFW5T5yMFhw,Stick Figure,Shine,pop,journee,ensoleille,sport,energique,groupe,exterieur,149,0.805,0.773,0.799,0.442,0.277,0.067,0.067,8.3
6iOqw5oLWwkFp76kGciRLQ,Peter Tosh,Reggae Mylitis,reggae,apres_midi,ensoleille,detente,romantique,couple,maison,85,0.528,0.841,0.572,0.549,0.064,0.04,0.271,7.2
3u1bKblfqeghD3grk3Le2w,Stick Figure,In This Love,pop,journee,neutre,conduite,motive,famille,voiture,116,0.745,0.79,0.673,0.498,0.152,0.077,0.153,8.1
5YH1A3YttSay4lgAR75tk3,CNCO,Reggaetón Lento (Remix),reggae,apres_midi,neutre,detente,romantique,couple,maison,75,0.514,0.751,0.529,0.705,0.362,0.059,0.171,7.5
1azvKxDb5Vkph2KR7aq1Cx,Stick Figure,Choice Is Yours (with Slightly Stoopid),pop,apres_midi,ensoleille,detente,romantique,couple,restaurant,134,0.665,0.821,0.774,0.674,0.274,0.066,0.134,8.0
2D3z17LBMJ2HEHeBFFjTLi,J Balvin,Reggaeton,reggae,apres_midi,ensoleille,conduite,neutre,amis,voiture,79,0.607,0.833,0.581,0.465,0.014,0.045,0.089,7.9
2Cv6DwpDGeg1m6gcHG55dc,TJ O'Neill,Railroad Shelter (with Stick Figure),pop,weekend,ensoleille,conduite,joyeux,amis,voiture,118,0.745,0.847,0.783,0.401,0.053,0.06,0.173,8.0
4PvVHAkONOaS6v4wgONGYZ,Damian Marley,Welcome To Jamrock,rock,journee,neutre,sport,neutre,amis,exterieur,132,0.793,0.534,0.658,0.651,0.249,0.077,0.208,8.1
7yFvSYKk3g5g8e7Ffl16ws,Bob Marley & The Wailers,Three Little Birds,pop,apres_midi,neutre,detente,romantique,couple,restaurant,134,0.684,0.703,0.591,0.692,0.178,0.104,0.081,8.9
1NoCZ187Z78b8Z9KPNrura,Dirty Heads,Day By Day,pop,journee,neutre,sport,motive,groupe,exterieur,142,0.865,0.674,0.864,0.446,0.027,0.083,0.083,7.9
3FMedgGsLUNwx8NciePFEK,Russ Millions,Reggae & Calypso (Russ Millions x Buni x YV),reggae,apres_midi,neutre,detente,romantique,couple,restaurant,80,0.6,0.794,0.639,0.522,0.244,0.044,0.085,7.9
6JRLFiX9NJSoRRKxowlBYr,Bob Marley & The Wailers,Is This Love,pop,journee,neutre,sport,motive,amis,exterieur,138,0.725,0.742,0.666,0.438,0.294,0.086,0.342,8.8
60j4KO4XiFxLM6qy2Enic2,Rebelution,Inhale Exhale (feat. Protoje),pop,apres_midi,chaud,detente,romantique,couple,maison,122,0.658,0.818,0.716,0.577,0.377,0.113,0.267,7.8
